COD_PLAN,AVANCE_CARRERA,COD_ACCESO,COD_SUBACCESO,CONVOCATORIA,APERTURA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PROME_ACADE,PBM_CALCULADO,ESTRATO,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,COD_PROVINCIA,COD_MINICIPIO,COD_NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
L006,70.9,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.0,4.0,36,1,,,8.0,1.0,170,0,NO,Plantel Privado,
L005,73.4,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,28,10.0,4.0,4.0,9,2,20.0,32.0,20.0,32.0,170,0,NO,Plantel Oficial,
L006,70.9,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,4.3,4.3,7,1,20.0,1.0,20.0,13.0,170,0,NO,Plantel Oficial,
L005,11.3,1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,23,3.0,3.7,3.7,3,1,,,20.0,13.0,170,0,NO,Plantel Oficial,572.44
L006,81.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.0,4.0,2,1,20.0,60.0,20.0,60.0,170,0,NO,Plantel Oficial,
L005,56.5,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,3.8,3.8,22,0,,,47.0,1.0,170,0,NO,Plantel Oficial,
L002,67.1,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,4.2,4.2,7,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L002,55.5,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,3.4,3.5,9,1,,,20.0,1.0,170,0,NO,Plantel Oficial,
L004,50.0,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,3.7,3.9,3,1,20.0,621.0,11.0,1.0,170,0,NO,Plantel Oficial,
L005,76.3,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.5,4.5,37,4,20.0,1.0,20.0,1.0,170,0,NO,Plantel Privado,
L004,67.3,1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.3,4.3,13,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L004,55.3,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,24,10.0,3.7,3.7,4,2,,,20.0,1.0,170,0,NO,Plantel Oficial,
L005,75.1,1,29,2019-2S,2019-2S,TARJETA IDENTIDAD,HOMBRE,22,10.0,4.6,4.6,28,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Privado,
L005,75.7,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,4.0,4.1,1,1,,,20.0,1.0,170,0,NO,Plantel Oficial,
L002,83.2,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,26,10.0,4.4,4.4,3,1,20.0,570.0,20.0,570.0,170,0,NO,Plantel Privado,
L001,76.5,1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,3.9,3.9,35,2,20.0,1.0,20.0,1.0,170,0,NO,Plantel Privado,
